region,site ID,Site name,Operator,,  Is site properly fenced and locked?,,stopped by security and identification checked,,visitor log maintained,,Is there a site emergency contact list?,, Are  signs   posted as required?,,Is security fences  intact and locks operational?,,Are there  signs of soil erosion that may weaken tower and anchor bases ?,,Is the  site  well cleaned and maintained?,,Has any  spillage taken place? ,,Is the concrete that is visible in overall good condition?(tower stubs and foundations),,Is the concrete that is visible in overall good condition? (all equipment plinths),,Is there grout  applied to the tower base?,,Are there any signs of rust or corrosion on anchor bolts?,,Are any of the nuts missing  on the HD bolts?,,Are the  RF exposure signs  mounted to the tower?,,Is tower painting  in overall good condition?,,Are there any rusted or missing members?,,Are there any missing bolts and nuts?,,Are navigation lights installed and in working order?,,Is climbing ladder installed and in good condition?,,Is safety cage installed and in good condition?,,Is  the tower level and plumb?,,Is there a visible twist in the tower?,,Is it close to the nearest inhabited building?,,Is there a lightning spike fitted to the top of tower all earth connections terminated?,,Is there  space available on ladder to accommodate additional feeder cables?,, Climbing ladder installed and in good condition?,,Is there space available to fit additional RF or MW antennas?,, Is there a shelter or brick enclosures?,,Is the shelter or brick enclosure  in  good condition?,,Have all earthing connections been terminated?,, Is there any intrusion system fitted?,,Are there traces of acid on the UPS battery and rectifier installation?,,Is the UPS batter array maintained on a regular basis?,,Are  RF cables secured properly in cable tray/ladder?,,Is the overall condition of feeder cables and waterproofing  good ?,,Are there any unused cables?,,Do you not any cables that have not been terminated?,,Is there fire alarm present?,,Is there an  intrusion alarm installed?,,Is there generator installed on site?,,Is the overall condition of the generatorand fuel tank/piping acceptable?,,Are the power cables in  good condition?,,Are the  cables properly insulated and terminated?,,Are the  appriporiate ECG meters installed on site?,,
4,BAB2023,DUAYAW NKWANTA,TANO SOUTH,VODAFONE,YES,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,yes,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
4,927,DUAYAW NKWANTA,TANO SOUTH,MTN,YES,,NO,,NO,,NO,DSCN1840.JPG,NO,DSCN1840.JPG,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,DSCN1840.JPG,YES,,NO,,NO,,YES,,YES,,NO,DSCN1840.JPG,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,NULL,yes,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
4,,DUAYAW NKWANTA EXPRESSO,TANO SOUTH,EXPRESSO,YES,,NO,,NO,,NO,DSCN1704.JPG,NO,DSCN1704.JPG,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,DSCN1704.JPG,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,DSCN1704.JPG,YES,,NO,NULL,YES,,NO,NULL,NO,,YES,,NO,NULL,YES,,NO,,yes,,YES,,YES,,NO,,NO,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,
4,1244,DUAYAW NKWANTA TIGO,TANO SOUTH,TIGO,NO,,NO,,NO,,NO,DSCN1735.JPG,NO,DSCN1735.JPG,NO,DSCN1735.JPG,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,NULL,YES,,NO,DSCN1793.JPG,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,,yes,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
4,1962,DWENEM,JAMAN,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,DSCN0507.JPG,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,NO,NULL,NO,,yes,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,yes,,
5,857,DZIDZINSO,KADJEBI,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,857,DZIDZINSO(MTN),KADJEBI,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,NULL,YES,,YES,,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,null,NO,,NO,NULL,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
5,0.887,DZINDZINN,KADJEBI,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZITA,KETA,VODAFONE/TIGO,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZITA(VODAFONE&TIGO),KETA,VODAFONE/TIGO,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,DSCN2907.JPG0,NO,,NO,,NO,,NO,DSCN2907,NO,,NO,,YES,,YES,,NO,DSCN2910.JPG,YES,,NO,,YES,DSCN2907.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,NULL,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
5,,DZODE,KETU,MTN,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZODZE,DENU,EXPRESSO,YES,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZODZE,DZOZE,AIRTEL,YES,,YES,,YES,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZODZE,KETU,MTN,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZODZE(MTN),KETU,MTN,NO,DSCN1903.JPG,NO,,NO,,NO,,NO,NULL,NO,DSCN1903.JPG,NO,,NO,DSCN1906.JPG,NO,,YES,,YES,,NO,DSCN1911.JPG,NO,,NO,,NO,NULL,NO,NULL,NO,,NO,,NO,NULL,YES,,NO,NULL,YES,,NO,,YES,DSCN10903.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,NULL,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
5,,DZOLO,HO,MTN,YES,,YES,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZOLO,HO,VODAFONE,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,DZOLO(MTN),HO,MTN,YES,,YES,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,null,NO,,NO,,NO,NULL,NO,NULL,NO,,NO,,NO,NULL,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,NULL,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
5,,DZOLO(VODAFONE),HO,VODAFONE,YES,,NO,,NO,,NO,,NO,NULL,YES,,NO,,YES,,NO,,YES,,YES,,NO,DSCN1948.JPG,NO,,NO,,NO,NULL,NO,DSCN1953.JPG,NO,,NO,,YES,,YES,,NO,NULL,YES,,NO,,YES,DSCN1962.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,NULL,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
8,,EAST_TANOKROM,SHAMA AHANTA EAST,Vodafone,yes,,no,null,no,null,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,no,null,no,,no,,yes,,yes,,no,,no,,yes,,yes,,no,null,yes,,no,,yes,cs5010_ct0006_se0081_1350379314134,yes,,no,null,yes,,yes,,no,null,yes,,yes,,YES,,NO,,YES,,yes,,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,1807,EFFIA KUMA MTN,SHAMA AHANTA EAST,MTN,yes,,no,null,no,null,no,null,no,null,yes,,no,,no,cs1204_null_null_1351426524641,no,,yes,,yes,,no,null,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,no,null,no,,yes,cs1204_null_null_1351426753902,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,NO,,YES,,yes,,no,null,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,,EFFIA_ANAJI_OT,SHAMA AHANTA EAST,VODAFONE,YES,,YES,,YES,,YES,,NO,null,YES,,,,NO,null,NO,,YES,,YES,,NO,null,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,null,YES,,YES,,YES,,YES,,NO,null,NO,null,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
8,,EFFIAKUMA_NORTH,SHAMA AHANTA EAST,Vodafone,yes,,yes,,no,null,no,null,no,null,yes,,no,,no,cs5019_ct0001_se0012_1350995797156,no,,yes,,yes,,no,null,no,,no,,yes,,no,null,no,,no,,yes,,yes,,yes,,yes,,no,,yes,cs5019_ct0006_se0062_1350996208482,yes,,no,null,yes,,no,null,no,cs5019_ct0002_se0007_1350995842095,yes,,yes,,YES,,NO,,YES,,no,null,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
8,,Effiekuma,Sekondi Takoradi Metropolitan,TIGO,YES,,YES,,YES,,NO,cs4902_ct0002_se0007_1350211573481,NO,cs4902_ct0002_se0007_1350211573481,YES,,NO,,YES,,NO,,YES,,YES,,NO,null,NO,,NO,,NO,cs4902_ct0002_se0007_1350211573481,YES,,NO,,NO,,YES,,NO,null,NO,cs4902_ct0006_se0094_1350211960435,YES,,NO,,YES,null,YES,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,null,YES,,NO,,NO,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
2,E-GOV WA,E-GOV WA,WA,VODAFONE,YES,,NO,null,NO,null,YES,,NO,null,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,null,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,null,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,null,NO,,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
7,1459,EKYE AMANFROM,ABEFITI,TIGO,YES,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NA,,NA,,YES,,YES,,YES,,YES,,YES,,
7,GH 0408,EKYE AMANFROM,ABEFITI,airtel,yes,,no,,no,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,3791,EKYE AMANFROM,ABEFITI,mtn,yes,,no,,no,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,no,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,3052,Ekyeamanfrom,ABEFITI,Tigo,yes,,yes,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,ENYIRESI,KWABEN,airtel,yes,,no,,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,,,yes,,yes,,yes,,yes,,yes,,YES,,YES,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
8,,Esikado,Sekondi Takoradi Metropolitan,TIGO,YES,,NO,null,NO,null,NO,null,NO,null,NO,null,YES,null,NO,null,NO,,NO,null,NO,null,NO,null,NO,,NO,,YES,,NO,null,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,cs5021_ct0003_se0020_1351000469673,YES,,NO,null,YES,,NO,null,NO,null,NO,null,YES,,NO,null,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
8,,Esipong,Sekondi Takoradi Metropolitan,TIGO,YES,,NO,null,NO,null,NO,null,NO,null,YES,,NO,,YES,,NO,,YES,,YES,,NO,null,NO,,NO,,YES,,NO,null,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,cs5021_ct0006_se0081_1351000688074,YES,,NO,null,YES,,YES,,YES,,YES,,YES,,NO,null,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,null,NO,null,YES,,
8,1769,ESSAM DBISO MTN,JUABESO BIA,MTN,YES,,YES,,YES,,YES,,NO,cs1171_null_null_1351765855330,NO,null,NO,,NO,cs1171_null_null_1351765451148,YES,cs1171_null_null_1351766580799,YES,,YES,,NO,null,NO,,NO,,NO,cs1171_null_null_1351765855330,NO,null,NO,,NO,,YES,,YES,,NO,cs1171_null_null_1351766351808,YES,,NO,,YES,cs1171_null_null_1351766141854,YES,,YES,,YES,,no,null,yes,,yes,,yes,,no,null,NO,,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,NO,null,YES,,YES,,YES,,
8,GH0168,Essiama,AXIM,AIRTEL,YES,,NO,null,NO,null,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,null,NO,,NO,,NO,null,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,null,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,null,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,NO,null,YES,,YES,,YES,,
8,WEB7074,ESSIPONG_STADIUM,SHAMA AHANTA EAST,Vodafone,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,yes,null,yes,,yes,,no,null,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,yes,cs5023_null_null_1351676809959,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,NO,,YES,,yes,,yes,,no,,no,,NO,null,NO,null,yes,,yes,,yes,,yes,,yes,,
4,3942,FIASO,NKORANZA,MTN,YES,,YES,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
2,GH0348,Fielmua,TUMU,AIRTEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
2,1566,FIELMUO,JIRAPA LAMBUSSIE,VODAFONE,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
2,1566,Fielmuo/Fellimong,LAMBUSSIE KARNI,TIGO,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
2,1566,FIELUMUA,JIRAPA LAMBUSSIE,MTN,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
8,,Fijai Airtel,SEKONDI-TAKORADI,AIRTEL,YES,,YES,,YES,,NO,null,NO,null,YES,,YES,null,NO,null,NO,,YES,,YES,,NO,null,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,cs5028_ct0006_se0094_1350999051351,YES,,YES,,YES,,YES,,NO,null,NO,null,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
8,,Fijai Tigo,Sekondi Takoradi Metropolitan,TIGO,YES,,YES,,YES,,NO,null,NO,null,YES,,YES,null,NO,null,NO,,YES,,YES,,NO,null,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,cs5043_ct0006_se0081_1350919341954,YES,,YES,,YES,,YES,,YES,,NO,null,YES,,NO,null,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
8,,Fijai West,Sekondi Takoradi Metropolitan,TIGO,YES,,YES,,NO,null,NO,null,NO,null,YES,,NO,,NO,null,NO,,YES,,YES,,NO,null,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,null,YES,,YES,,YES,,NO,null,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,null,YES,null,NO,null,NO,null,YES,,YES,,YES,,YES,,YES,,
5,VOB 6556,FODOMEHELU,HOHOE,VODAFONE,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,VOB 6556,FODOMEHELU(VODAFONE),HOHOE,VODAFONE,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,NO,NULL,NO,NULL,YES,,YES,NULL,YES,NULL,YES,,YES,,NO,,NO,,YES,,YES,,NO,NULL,YES,,NO,,YES,DSCN0374.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,NULL,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
7,3721,FORIFORI,AFRAM PLAINS,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NA,,NA,,YES,,YES,,NO,,NO,,NA,,NA,,YES,,YES,,YES,,YES,,YES,,
7,3123,FORIFORI,AFRAM PLAINS,vodafone,yes,,no,,no,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,no,,NA,,NA,,yes,,yes,,yes,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,FRANKADUA,ASUOGYAMAN,tigo,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,no,,YES,,no,,YES,,yes,,yes,,,,yes,,yes,,yes,,no,,yes,,YES,,YES,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,1813,FRANKADUA,ASUOGYAMAN,mtn,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,no,,YES,,no,,YES,,yes,,yes,,,,yes,,yes,,yes,,yes,,yes,,YES,,YES,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
3,,Fufulso,DAMANGO,TIGO/AIRTEL,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,
3,CS3688,FUFULSU_GT VODAFONE,DAMANGO,VODAFONE,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,PB161433,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161434,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,NULL,YES,,YES,,NO,PB161439,NO,PB161439,NO,NULL,
3,CS3686,FULFUSO TIGO,DAMANGO,TIGO,YES,,YES,,YES,,NO,PB161453,NO,PB161453,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161453,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,PB161443,NO,NULL,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB161449,YES,,YES,,NO,PB161451,NO,PB161451,NO,PB161452,
4,BAB2066,GAMBIA,ASUTIFI,VODAFONE,YES,,NO,,NO,,NO,DSCN2784.JPG,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,DSCN2790.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
4,2629,GAMBIA-NO.2,ASUTIFI,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,DSCN2863.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,,yes,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
4,,GARADIMA,SENE,MTN,YES,,NO,,YN,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
5,,GBEDGAME,ADAKLU ANYIGBE,EXPRESSO,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,GH0820,GH0820_LANGANTIRE AIRTEL,WEST GONJA,AIRTEL,YES,,YES,,NO,PB212192,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,NULL,NO,NULL,NO,PB212191,YES,,YES,,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB212193,YES,,YES,,NO,PB212198,NO,PB212198,NO,NULL,
7,3826,GHANASS-KOF,New - Juaben Municipal,AIRTEL/MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
